model_id,name,quantization,status,run_id,timestamp,round_name,score,reasoning,speed_tps,total_score,total_speed,max_score
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",abstract_logic,0,"The model provided an empty response and failed to provide any steps or the final coordinate pair as required by the benchmark.",30.76,,,
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",code_generation,0,"The model response is completely empty and contains no code or explanation. It fails to address any of the required key points (aiohttp.ClientSession with TCPConnector, TokenBucket implementation, exponential backoff, asyncio.gather, handling 5xx errors).",30.76,,,
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",creative_writing,10,"The model's response perfectly addresses all key points. The tone is distinctly noir/hard-boiled with short sentences and a cynical outlook ('Third shift. Always third shift.', 'Bullshit.'). The perspective is strictly first-person throughout. It uses technical networking jargon accurately and effectively (BGP updates, AS 4138, /24 prefix, null route, Netflow counters, RTT jitter, OSPF adjacency tables, LSDB, ICMP requests). The theme of isolation is central to the narrative, emphasizing the protagonist's solitude ('Nobody checks on solo netops at 03:17 anymore.', 'Down here, there's only me...'). Finally, the word count is approximately 504 words, which falls perfectly within the required +/- 10% variance (450-550 words).",30.81,,,
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",knowledge_qa,3,"The model failed to provide the full phonetic Romanization and hallucinated the entire Thai script, starting with 'พระทรวงมหานคร' instead of the correct 'กรุงเทพมหานคร'. However, it did successfully include the English translation mentioning 'City of Angels', 'Nine Gems', and 'Indra'.",30.71,,,
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",speed_metric,12,"Observed average TPS: 30.76",30.76,,,
deepreinforce-ai_ornith-1.0-35b-iq4_xs,deepreinforce-ai_ornith-1.0-35b-iq4_xs,IQ4_XS,"⚠️ HALLUCINATION WARNING",9e59b13c-fc6f-4198-8fca-e6e79dd4138d,"2026-06-28 06:10:04",technical_reasoning,18,"The model response accurately addresses all five key points from the gold standard. It correctly identifies that `llama.cpp` uses a page-based (block) memory management system rather than static contiguous buffers. It explains how static buffers cause internal fragmentation/waste by pre-allocating monolithic blocks, while dynamic paged allocation allows for non-contiguous storage via virtual indices and page tables. The model explicitly links this dynamic allocation to continuous batching and higher throughput. Finally, it clearly articulates the benefit for consumer GPUs with limited VRAM, explaining how fitting more sequences into available memory maximizes effective context length and batch size.",30.76,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",abstract_logic,0,"The model provided an empty response and failed to provide any steps or the final coordinate pair as required by the benchmark.",28.7675,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",code_generation,18,"The model successfully addresses all five key points required by the rubric. It uses aiohttp.ClientSession with a TCPConnector for connection pooling, implements a TokenBucket class (AsyncTokenBucketRateLimiter) with sleep and refill logic, implements exponential backoff using `2 ** attempt` (with jitter), utilizes asyncio.gather(return_exceptions=True), and specifically handles 5xx errors as retry triggers. The implementation is robust, includes additional useful features like metrics collection and logging, and correctly structures the concurrent scraping workflow.",28.63,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",creative_writing,8,"The model successfully captured the noir/hard-boiled tone with short sentences and a cynical outlook, maintained a strict first-person perspective, accurately utilized technical jargon (BGP peering session, TTL decrement, packet tracer, route table, ECMP load balancing), and made isolation a central theme. However, it failed to adhere to the length constraint of approximately 500 words (+/- 10%), as the response is roughly 680 words long.",28.93,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",knowledge_qa,1,"The model failed to provide the full formal name of Bangkok in both Thai script and phonetic Romanization, only providing the short version (Krung Thep Maha Nakhon). It also failed to include the English translation mentioning 'Nine Gems' or the deities 'Indra/Vishvakarman'. It received 1 point for loosely mentioning 'City of Angels' as an interpretation of the short name. Additionally, the model hallucinated a longer traditional Thai script and its corresponding English translation.",28.81,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",speed_metric,11,"Observed average TPS: 28.77",28.7675,,,
ornith-1.0-9b-q8_0,ornith-1.0-9b-q8_0,Unknown,"⚠️ HALLUCINATION WARNING",0adcb940-58e6-4c8b-9e26-5df09d31ed0b,"2026-06-28 05:40:22",technical_reasoning,18,"The model response successfully addresses all five key points from the gold standard. It correctly identifies that llama.cpp uses static, contiguous buffers leading to internal fragmentation (wasted space for unused tokens). It explains PagedAttention/block-based management as dividing memory into fixed-size pages allowing non-contiguous storage. It links dynamic allocation to higher throughput and continuous batching by explaining how paged attention enables high concurrency without OOM on limited VRAM. Finally, it thoroughly discusses the consumer GPU context, explaining why llama.cpp prioritizes contiguous buffers for coalesced access patterns despite the fragmentation risks. The model provides a highly accurate, nuanced technical explanation that aligns perfectly with the gold standard's concepts.",28.7,,,
qwen3.5-9b-uncensored-hauhaucs-aggressive-q4_k_m,qwen3.5-9b-uncensored-hauhaucs-aggressive-q4_k_m,Q4_K_M,"⚠️ HALLUCINATION WARNING",2427ed25-3316-4eb9-80e3-d26764bd8ae4,"2026-06-28 05:13:55",abstract_logic,0,"The model's response is completely empty. It fails to address any of the key points required by the benchmark, including the correct coordinate transformations for each step and the final position.",29.212500000000002,,,
qwen3.5-9b-uncensored-hauhaucs-aggressive-q4_k_m,qwen3.5-9b-uncensored-hauhaucs-aggressive-q4_k_m,Q4_K_M,"⚠️ HALLUCINATION WARNING",2427ed25-3316-4eb9-80e3-d26764bd8ae4,"2026-06-28 05:13:55",code_generation,3,"The model's response is severely incomplete as it cuts off mid-code, failing to implement several required features. While it mentions using `asyncio.TaskGroup` and a `TCPConnector`, these are not implemented in the provided code snippet. The TokenBucket implementation contains a critical concurrency bug: it holds an async lock while sleeping (`await asyncio.sleep(sleep_time)`), which blocks other coroutines, and then attempts to re-acquire the same non-reentrant lock (`async with self._lock:`) after waking up, causing a `RuntimeError`. Exponential backoff constants are defined but not implemented. The 5xx error handling is partially started but lacks the actual retry logic. Due to the incomplete code and critical bugs in the provided snippet, it fails to meet most key points.",29.17,,,
